date, pm25, pm10, o3, no2, so2, co
2020/10/2, 41, 14, , , , 
2020/10/3, 39, 14, , , , 
2020/10/4, 34, 12, , , , 
2020/10/5, 28, 20, , , , 
2020/10/6, 48, 19, , , , 
2020/10/7, 47, 28, , , , 
2020/10/8, 55, 23, , , , 
2020/10/9, 49, 24, , , , 
2020/10/10, 53, 30, , , , 
2020/10/11, 54, 28, , , , 
2020/10/12, 51, 26, , , , 
2020/10/13, 61, 29, , , , 
2020/10/14, 69, 17, , , , 
2020/10/15, 54, 15, , , , 
2020/10/16, 54, 7, , , , 
2020/10/17, 43, 11, , , , 
2020/10/18, 47, 14, , , , 
2020/10/19, 50, 21, , , , 
2020/10/20, 62, 25, , , , 
2020/10/21, 58, 25, , , , 
2020/10/22, 51, 26, , , , 
2020/10/23, 53, 16, , , , 
2020/10/24, 49, 7, , , , 
2020/10/25, 37, , , , , 
2020/10/26, 39, 21, , , , 
2020/10/27, 43, 12, , , , 
2020/10/28, 39, 24, , , , 
2020/10/29, 35, 28, , , , 
2020/10/30, 58, 24, , , , 
2020/10/31, 64, 17, , , , 
2020/11/1, 62, 12, , , , 
2020/11/2, 53, 11, , , , 
2020/11/3, 46, 14, , , , 
2020/11/4, 47, 16, , , , 
2020/11/5, 39, 35, , , , 
2020/11/6, 49, 40, , , , 
2020/11/7, 63, 36, , , , 
2020/11/8, 66, 24, , , , 
2020/11/9, 56, 21, , , , 
2020/11/10, 50, 20, , , , 
2020/11/11, 58, 10, , , , 
2020/11/12, 39, 12, , , , 
2020/11/13, 33, 10, , , , 
2020/11/14, 37, 17, , , , 
2020/11/15, 39, 24, , , , 
2020/11/16, 48, 21, , , , 
2020/11/17, 49, 21, , , , 
2020/11/18, 53, 20, , , , 
2020/11/19, 43, 10, , , , 
2020/11/20, 38, 7, , , , 
2020/11/21, 27, 13, , , , 
2020/11/22, 27, 23, , , , 
2020/11/23, 30, 17, , , , 
2020/11/24, 29, 23, , , , 
2020/11/25, 35, 37, , , , 
2020/11/26, 38, 47, , , , 
2020/11/27, 64, 40, , , , 
2020/11/28, 62, 20, , , , 
2020/11/29, 43, 23, , , , 
2020/11/30, 37, 39, , , , 
2020/12/1, 55, 36, , , , 
2020/12/2, 56, 27, , , , 
2020/12/3, 50, 39, , , , 
2020/12/4, 51, 39, , , , 
2020/12/5, 57, 32, , , , 
2020/12/6, 57, 28, , , , 
2020/12/7, 59, 21, , , , 
2020/12/8, 54, 21, , , , 
2020/12/9, 44, 30, , , , 
2020/12/10, 49, 31, , , , 
2020/12/11, 50, 29, , , , 
2020/12/12, 48, 31, , , , 
2020/12/13, 49, 30, , , , 
2020/12/14, 46, 48, , , , 
2020/12/15, 57, 29, , , , 
2020/12/16, 50, 45, , , , 
2020/12/17, 59, 31, , , , 
2020/12/18, 61, 18, , , , 
2020/12/19, 47, 17, , , , 
2020/12/20, 37, 20, , , , 
2020/12/21, 36, 35, , , , 
2020/12/22, 60, 29, , , , 
2020/12/23, 55, 23, , , , 
2020/12/24, 50, 26, , , , 
2020/12/25, 52, 30, , , , 
