date, pm25, pm10, o3, no2, so2, co
2020/10/2, 42, , , , , 
2020/10/3, 50, , , , , 
2020/10/4, 46, , , , , 
2020/10/5, 57, , , , , 
2020/10/6, 56, , , , , 
2020/10/7, 53, , , , , 
2020/10/8, 47, , , , , 
2020/10/9, 50, , , , , 
2020/10/10, 61, , , , , 
2020/10/11, 64, , , , , 
2020/10/12, 63, , , , , 
2020/10/13, 49, , , , , 
2020/10/14, 48, , , , , 
2020/10/15, 49, , , , , 
2020/10/16, 58, , , , , 
2020/10/17, 61, , , , , 
2020/10/18, 63, , , , , 
2020/10/19, 97, , , , , 
2020/10/20, 72, , , , , 
2020/10/21, 71, , , , , 
2020/10/22, 67, , , , , 
2020/10/23, 54, , , , , 
2020/10/24, 46, , , , , 
2020/10/25, 25, , , , , 
2020/10/26, 33, , , , , 
2020/10/27, 30, , , , , 
2020/10/28, 28, , , , , 
2020/10/29, 34, , , , , 
2020/10/30, 33, , , , , 
2020/10/31, 47, , , , , 
2020/11/1, 64, , , , , 
2020/11/2, 61, , , , , 
2020/11/3, 53, , , , , 
2020/11/4, 46, , , , , 
2020/11/5, 42, , , , , 
2020/11/6, 48, , , , , 
2020/11/7, 49, , , , , 
2020/11/8, 49, , , , , 
2020/11/9, 40, , , , , 
2020/11/10, 35, , , , , 
2020/11/11, 42, , , , , 
2020/11/12, 33, , , , , 
2020/11/13, 26, , , , , 
2020/11/14, 30, , , , , 
2020/11/15, 35, , , , , 
2020/11/16, 30, , , , , 
2020/11/17, 44, , , , , 
2020/11/18, 67, , , , , 
2020/11/19, 44, , , , , 
2020/11/20, 38, , , , , 
2020/11/21, 35, , , , , 
2020/11/22, 37, , , , , 
2020/11/23, 31, , , , , 
2020/11/24, 30, , , , , 
2020/11/25, 30, , , , , 
2020/11/26, 30, , , , , 
2020/11/27, 28, , , , , 
2020/11/28, 36, , , , , 
2020/11/29, 35, , , , , 
2020/11/30, 36, , , , , 
2020/12/1, 37, , , , , 
2020/12/2, 32, , , , , 
2020/12/3, 36, , , , , 
2020/12/4, 40, , , , , 
2020/12/5, 41, , , , , 
2020/12/6, 47, , , , , 
2020/12/7, 33, , , , , 
2020/12/8, 32, , , , , 
2020/12/9, 29, , , , , 
2020/12/10, 37, , , , , 
2020/12/11, 102, , , , , 
2020/12/12, 87, , , , , 
2020/12/13, 66, , , , , 
2020/12/14, 66, , , , , 
2020/12/15, 60, , , , , 
2020/12/16, 49, , , , , 
2020/12/17, 53, , , , , 
2020/12/18, 35, , , , , 
2020/12/19, 28, , , , , 
2020/12/20, 27, , , , , 
2020/12/21, 43, , , , , 
2020/12/22, 56, , , , , 
2020/12/23, 58, , , , , 
2020/12/24, 72, , , , , 
2020/12/25, 48, , , , , 
2020/12/26, 48, , , , , 
2020/12/27, 67, , , , , 
2020/12/28, 81, , , , , 
2020/12/29, 58, , , , , 
2020/12/30, 30, , , , , 
2020/12/31, 18, , , , , 
2021/1/1, 31, , , , , 
2021/1/2, 45, , , , , 
2021/1/3, 37, , , , , 
2021/1/4, 40, , , , , 
2020/7/2, 57, , , , , 
2020/7/3, 49, , , , , 
2020/7/4, 38, , , , , 
2020/7/5, 33, , , , , 
2020/7/6, 45, , , , , 
2020/7/7, 49, , , , , 
2020/7/8, 37, , , , , 
2020/7/9, 30, , , , , 
2020/7/10, 30, , , , , 
2020/7/11, 33, , , , , 
2020/7/12, 39, , , , , 
2020/7/13, 46, , , , , 
2020/7/14, 41, , , , , 
2020/7/15, 45, , , , , 
2020/7/16, 60, , , , , 
2020/7/17, 57, , , , , 
2020/7/18, 47, , , , , 
2020/7/19, 29, , , , , 
2020/7/20, 46, , , , , 
2020/7/21, 45, , , , , 
2020/7/22, 51, , , , , 
2020/7/23, 35, , , , , 
2020/7/24, 29, , , , , 
2020/7/25, 23, , , , , 
2020/7/26, 51, , , , , 
2020/7/27, 36, , , , , 
2020/7/28, 39, , , , , 
2020/7/29, 44, , , , , 
2020/7/30, 48, , , , , 
2020/7/31, 37, , , , , 
2020/8/1, 57, , , , , 
2020/8/2, 49, , , , , 
2020/8/3, 38, , , , , 
2020/8/4, 60, , , , , 
2020/8/5, 51, , , , , 
2020/8/6, 41, , , , , 
2020/8/7, 45, , , , , 
2020/8/8, 43, , , , , 
2020/8/9, 51, , , , , 
2020/8/10, 53, , , , , 
2020/8/11, 46, , , , , 
2020/8/12, 42, , , , , 
2020/8/13, 47, , , , , 
2020/8/14, 55, , , , , 
2020/8/15, 53, , , , , 
2020/8/16, 50, , , , , 
2020/8/17, 45, , , , , 
2020/8/18, 46, , , , , 
2020/8/19, 40, , , , , 
2020/8/20, 44, , , , , 
2020/8/21, 41, , , , , 
2020/8/22, 49, , , , , 
2020/8/23, 52, , , , , 
2020/8/24, 40, , , , , 
2020/8/25, 30, , , , , 
2020/8/26, 28, , , , , 
2020/8/27, 56, , , , , 
2020/8/28, 62, , , , , 
2020/8/29, 50, , , , , 
2020/8/30, 44, , , , , 
2020/8/31, 40, , , , , 
2020/9/1, 53, , , , , 
2020/9/2, 62, , , , , 
2020/9/3, 39, , , , , 
2020/9/4, 38, , , , , 
2020/9/5, 42, , , , , 
2020/9/6, 54, , , , , 
2020/9/7, 50, , , , , 
2020/9/8, 48, , , , , 
2020/9/9, 48, , , , , 
2020/9/10, 61, , , , , 
2020/9/11, 57, , , , , 
2020/9/12, 54, , , , , 
2020/9/13, 62, , , , , 
2020/9/14, 70, , , , , 
2020/9/15, 61, , , , , 
2020/9/16, 59, , , , , 
2020/9/17, 62, , , , , 
2020/9/18, 60, , , , , 
2020/9/19, 59, , , , , 
2020/9/20, 47, , , , , 
2020/9/21, 53, , , , , 
2020/9/22, 49, , , , , 
2020/9/23, 45, , , , , 
2020/9/24, 39, , , , , 
2020/9/25, 31, , , , , 
2020/9/26, 36, , , , , 
2020/9/27, 39, , , , , 
2020/9/28, 66, , , , , 
2020/9/29, 65, , , , , 
2020/9/30, 56, , , , , 
